event_id,user_id,event_type,source,country,device,revenue,timestamp
1,u001,page_view,web,US,mobile,0,2026-01-01T10:00:00
2,u002,purchase,web,DE,desktop,120,2026-01-01T10:03:00
3,u003,signup,ads,FR,mobile,0,2026-01-01T10:05:00
4,u001,purchase,web,US,mobile,75,2026-01-01T10:06:00
5,u004,error,api,IN,desktop,0,2026-01-01T10:10:00
6,u002,page_view,email,DE,tablet,0,2026-01-01T10:12:00
7,u005,purchase,ads,US,mobile,210,2026-01-01T10:15:00
8,u006,login,web,GB,desktop,0,2026-01-01T10:17:00
9,u003,purchase,email,FR,mobile,95,2026-01-01T10:20:00
10,u007,error,api,US,desktop,0,2026-01-01T10:25:00
11,u001,page_view,web,US,mobile,0,2026-01-01T10:30:00
12,u008,signup,ads,CA,tablet,0,2026-01-01T10:31:00
13,u009,purchase,web,JP,desktop,330,2026-01-01T10:35:00
14,u010,login,email,BR,mobile,0,2026-01-01T10:37:00
15,u011,purchase,web,US,tablet,60,2026-01-01T10:40:00
16,u004,error,api,IN,mobile,0,2026-01-01T10:42:00
17,u012,page_view,ads,DE,mobile,0,2026-01-01T10:45:00
18,u013,purchase,web,GB,desktop,180,2026-01-01T10:50:00
19,u014,signup,email,US,mobile,0,2026-01-01T10:52:00
20,u015,purchase,ads,CA,desktop,240,2026-01-01T10:55:00
